x=-1.13441, y=-1.35327, z=-0.343247
x=-1.12759, y=-1.35471, z=-0.342611
x=-1.11531, y=-1.35432, z=-0.341031
x=-0.615772, y=-1.35345, z=-0.343288
x=-0.604198, y=-1.35301, z=-0.342097
x=-0.593104, y=-1.35348, z=-0.341161
x=-0.584814, y=-1.35382, z=-0.340468
x=-0.579302, y=-1.35403, z=-0.34001
x=1.69599, y=-1.3598, z=-0.344297
x=2.45974, y=-1.35876, z=-0.345034
x=1.69519, y=-1.34464, z=-0.342701
x=2.46046, y=-1.34797, z=-0.344473
x=3.7145, y=-1.34546, z=-0.345639
x=-1.15792, y=-1.33331, z=-0.343261
x=-1.14558, y=-1.33314, z=-0.341667
x=-1.1333, y=-1.33291, z=-0.340083
x=-0.660165, y=-1.33195, z=-0.343203
x=-0.654546, y=-1.33229, z=-0.342698
x=-0.646141, y=-1.33277, z=-0.341949
x=-0.634975, y=-1.33339, z=-0.34096
x=-0.626629, y=-1.33382, z=-0.340227
x=2.46117, y=-1.3372, z=-0.343916
x=3.71459, y=-1.33084, z=-0.345212
x=1.6951, y=-1.32538, z=-0.340802
x=2.45789, y=-1.32432, z=-0.342809
x=-1.18143, y=-1.31334, z=-0.343379
x=-1.17244, y=-1.31254, z=-0.342096
x=-1.16567, y=-1.31416, z=-0.341457
x=-1.15674, y=-1.31331, z=-0.340184
x=-0.693702, y=-1.31207, z=-0.342648
x=-0.685246, y=-1.31268, z=-0.341864
x=-0.676821, y=-1.31327, z=-0.341088
x=-0.668419, y=-1.31382, z=-0.340318
x=1.72982, y=-1.31877, z=-0.344515
x=2.45856, y=-1.31362, z=-0.342261
x=3.71467, y=-1.31624, z=-0.34479
x=1.72806, y=-1.30791, z=-0.343252
x=2.45921, y=-1.30295, z=-0.341716
x=3.71474, y=-1.30168, z=-0.344372
x=-1.1959, y=-1.29264, z=-0.342303
x=-1.18467, y=-1.29402, z=-0.341022
x=-0.733979, y=-1.2938, z=-0.343414
x=-0.72489, y=-1.29351, z=-0.342326
x=-0.71302, y=-1.29344, z=-0.34098
x=-0.70458, y=-1.29412, z=-0.340182
x=1.72944, y=-1.29948, z=-0.342623
x=2.45984, y=-1.2923, z=-0.341173
x=1.72831, y=-1.28452, z=-0.341062
x=2.46044, y=-1.28167, z=-0.340634
x=3.71479, y=-1.28715, z=-0.343958
x=-1.22163, y=-1.27505, z=-0.343241
